year,condition,cylinders,fuel,miles,status,transmission,drive,type,color,manufacturer,price_cad
2016.0,unknown,4 ,diesel,87291.0,clean,automatic,4wd,pickup,white,ford,63907.76
2010.0,unknown,8 ,gas,151359.0,clean,automatic,4wd,SUV,unknown,ford,12233.2
2016.0,excellent,6 ,gas,127000.0,clean,automatic,fwd,SUV,black,dodge,17673.2
2004.0,good,4 ,gas,167000.0,clean,automatic,fwd,hatchback,black,scion,3944.0000000000005
2013.0,good,4 ,gas,128760.0,clean,automatic,fwd,sedan,other,chevrolet,12172.0
2019.0,unknown,4 ,gas,30139.0,clean,automatic,4wd,SUV,other,hyundai,29918.640000000003
2019.0,unknown,4 ,gas,12870.0,clean,automatic,fwd,SUV,silver,honda,36414.0
2009.0,excellent,4 ,hybrid,148000.0,clean,automatic,fwd,hatchback,other,toyota,7888.000000000001
2015.0,excellent,8 ,gas,167675.0,clean,automatic,rwd,van,white,chevrolet,20250.4
2001.0,unknown,4 ,diesel,142655.0,clean,automatic,4wd,pickup,other,ford,43506.4
2011.0,good,6 ,gas,62000.0,salvage,automatic,fwd,mini-van,other,toyota,19040.0
2011.0,unknown,8 ,gas,135198.0,clean,automatic,rwd,truck,white,gmc,27193.2
2019.0,good,4 ,gas,33274.0,clean,automatic,fwd,sedan,other,nissan,17612.0
2001.0,unknown,8 ,diesel,115000.0,clean,automatic,4wd,pickup,white,ford,46104.0
2017.0,excellent,4 ,gas,65955.0,clean,automatic,fwd,sedan,silver,hyundai,15612.800000000001
2017.0,unknown,4 ,gas,66246.0,clean,automatic,rwd,truck,unknown,toyota,33993.200000000004
2000.0,fair,4 ,gas,178000.0,clean,manual,fwd,sedan,black,honda,3400.0000000000005
2004.0,excellent,6 ,gas,147163.0,clean,automatic,fwd,mini-van,other,toyota,9248.0
2021.0,good,4 ,gas,6897.0,clean,automatic,fwd,sedan,unknown,toyota,24478.640000000003
2019.0,good,4 ,gas,22776.0,clean,other,fwd,sedan,other,hyundai,28546.4
2018.0,good,4 ,gas,41076.0,clean,other,fwd,hatchback,unknown,chevrolet,24466.4
2016.0,unknown,4 ,gas,28552.0,clean,automatic,fwd,sedan,other,hyundai,22440.0
2011.0,excellent,6 ,gas,133833.0,rebuilt,automatic,4wd,truck,other,ford,21075.920000000002
1993.0,unknown,4 ,gas,241500.0,clean,manual,rwd,pickup,other,nissan,2040.0000000000002
2016.0,unknown,4 ,gas,107415.0,clean,automatic,4wd,SUV,black,dodge,31278.640000000003
2010.0,unknown,6 ,gas,239300.0,rebuilt,automatic,fwd,SUV,black,ford,1632.0000000000002
2004.0,excellent,4 ,hybrid,1.0,clean,automatic,fwd,sedan,silver,toyota,5433.200000000001
2016.0,excellent,4 ,gas,60571.0,clean,automatic,4wd,truck,white,ford,48824.0
2012.0,excellent,4 ,gas,91000.0,clean,automatic,fwd,sedan,silver,kia,11560.0
2004.0,good,4 ,gas,79030.0,clean,automatic,fwd,hatchback,white,scion,7480.000000000001
2015.0,excellent,4 ,gas,118247.0,clean,automatic,fwd,SUV,unknown,volvo,20096.72
2010.0,good,4 ,gas,99639.0,clean,automatic,fwd,sedan,other,honda,8840.0
2020.0,unknown,4 ,gas,70688.0,clean,automatic,fwd,sedan,other,honda,25833.2
2011.0,excellent,4 ,gas,147000.0,clean,automatic,fwd,sedan,other,honda,8160.000000000001
2010.0,excellent,4 ,gas,204000.0,clean,automatic,fwd,SUV,other,ford,5780.0
2008.0,excellent,6 ,gas,169435.0,clean,automatic,4wd,SUV,unknown,honda,10062.640000000001
2015.0,excellent,4 ,gas,101868.0,clean,automatic,4wd,sedan,black,kia,11968.0
2020.0,unknown,4 ,gas,13080.0,clean,automatic,4wd,truck,silver,toyota,67998.64
2012.0,unknown,8 ,gas,127417.0,clean,automatic,4wd,truck,other,chevrolet,29913.2
2017.0,unknown,8 ,gas,43886.0,clean,automatic,4wd,pickup,other,chevrolet,65273.200000000004
2019.0,good,4 ,gas,50253.0,clean,automatic,fwd,sedan,white,honda,28394.08
2020.0,unknown,4 ,gas,26502.0,clean,automatic,fwd,hatchback,other,kia,134.64000000000001
2016.0,good,4 ,gas,60225.0,clean,automatic,fwd,sedan,white,mazda,15232.000000000002
2017.0,like new,4 ,gas,29000.0,clean,automatic,fwd,sedan,black,chevrolet,24344.0
2005.0,unknown,6 ,gas,96564.0,clean,manual,4wd,pickup,silver,toyota,40795.920000000006
2011.0,excellent,6 ,gas,129768.0,clean,automatic,fwd,SUV,black,kia,16313.2
2016.0,excellent,4 ,diesel,86492.0,clean,automatic,4wd,pickup,other,chevrolet,80172.0
1995.0,excellent,4 ,diesel,124000.0,clean,automatic,4wd,van,other,toyota,20264.0
2003.0,good,8 ,gas,243537.0,clean,automatic,4wd,SUV,black,chevrolet,9180.0
2019.0,good,4 ,electric,14529.0,clean,other,rwd,sedan,black,tesla,51122.4
2017.0,good,4 ,gas,19366.0,clean,automatic,rwd,sedan,other,bmw,43506.4
2011.0,excellent,4 ,gas,174674.0,clean,automatic,4wd,pickup,white,nissan,17673.2
2019.0,good,4 ,gas,22140.0,clean,other,4wd,pickup,black,ford,44866.4
2002.0,unknown,6 ,gas,91000.0,rebuilt,automatic,rwd,truck,other,chevrolet,17544.0
2007.0,good,4 ,gas,218725.0,clean,automatic,fwd,sedan,other,ford,3398.6400000000003
2018.0,good,4 ,gas,22075.0,clean,other,fwd,sedan,white,hyundai,25282.4
2020.0,like new,8 ,gas,1837.0,clean,manual,4wd,truck,other,ford,103360.00000000001
2011.0,good,4 ,gas,69457.0,clean,other,rwd,convertible,other,bmw,23922.4
2008.0,good,8 ,gas,192575.0,clean,automatic,rwd,van,other,ford,8840.0
2020.0,like new,8 ,gas,9839.0,clean,automatic,4wd,truck,black,toyota,79968.0
2014.0,excellent,6 ,gas,52209.0,clean,automatic,4wd,SUV,other,audi,40798.64
2007.0,good,8 ,gas,218500.0,clean,automatic,4wd,SUV,other,cadillac,10880.0
2015.0,unknown,4 ,gas,117880.0,clean,automatic,fwd,sedan,other,honda,12233.2
2010.0,good,6 ,gas,102370.0,clean,automatic,fwd,SUV,other,ford,12233.2
2005.0,like new,6 ,gas,186000.0,clean,automatic,4wd,SUV,silver,honda,6120.0
2011.0,good,4 ,gas,69457.0,clean,other,rwd,convertible,other,bmw,23922.4
2013.0,good,8 ,gas,77137.0,clean,automatic,rwd,truck,black,chevrolet,31263.680000000004
2013.0,unknown,4 ,gas,124526.0,clean,automatic,fwd,sedan,black,toyota,15559.76
2015.0,excellent,4 ,gas,86000.0,clean,automatic,fwd,sedan,silver,toyota,18700.0
2005.0,excellent,4 ,gas,188000.0,clean,manual,fwd,hatchback,other,toyota,5304.0
2013.0,unknown,4 ,other,63005.0,clean,automatic,4wd,pickup,unknown,chevrolet,33923.840000000004
2010.0,fair,6 ,gas,140000.0,clean,automatic,fwd,sedan,other,ford,4352.0
2016.0,excellent,4 ,gas,83149.0,clean,manual,fwd,sedan,unknown,chevrolet,10873.2
2012.0,excellent,4 ,gas,159000.0,clean,automatic,rwd,sedan,white,bmw,13566.000000000002
2006.0,good,8 ,gas,130000.0,clean,automatic,4wd,SUV,silver,chevrolet,33998.64
2007.0,excellent,4 ,diesel,113941.0,clean,automatic,4wd,pickup,other,chevrolet,33993.200000000004
2012.0,good,8 ,gas,135897.0,clean,automatic,4wd,SUV,white,chevrolet,27198.640000000003
2003.0,good,6 ,gas,108000.0,clean,automatic,4wd,truck,white,toyota,21080.0
2015.0,excellent,4 ,gas,38000.0,rebuilt,automatic,4wd,SUV,white,audi,28016.000000000004
2013.0,unknown,8 ,gas,98595.0,clean,automatic,4wd,pickup,other,ford,39425.04
2018.0,good,4 ,gas,39220.0,clean,automatic,fwd,hatchback,silver,ford,20386.4
2006.0,good,6 ,gas,200000.0,clean,automatic,fwd,mini-van,silver,homda,4488.0
2016.0,good,6 ,gas,17302.0,clean,other,4wd,pickup,other,chevrolet,40786.4
2013.0,good,8 ,gas,92274.0,clean,automatic,4wd,van,white,chevrolet,30991.680000000004
2019.0,good,8 ,gas,14222.0,clean,other,4wd,pickup,other,gmc,49762.4
2019.0,good,6 ,other,24748.0,clean,other,fwd,van,unknown,dodge,32626.4
2020.0,good,4 ,gas,3112.0,clean,other,fwd,hatchback,other,toyota,32626.4
2000.0,fair,8 ,gas,152374.0,clean,automatic,rwd,truck,white,chevrolet,10873.2
2012.0,good,8 ,gas,67820.0,clean,automatic,rwd,truck,white,ford,20386.4
2019.0,good,4 ,other,23648.0,clean,other,fwd,sedan,white,audi,38066.4
2018.0,good,8 ,other,29095.0,clean,automatic,4wd,pickup,other,chevrolet,57113.200000000004
2008.0,excellent,6 ,gas,113000.0,clean,automatic,fwd,mini-van,silver,dodge,8432.0
1947.0,excellent,8 ,gas,15000.0,clean,manual,rwd,sedan,other,ford,17000.0
2018.0,excellent,4 ,gas,26695.0,clean,automatic,4wd,SUV,white,audi,50306.4
2013.0,excellent,4 ,gas,42500.0,clean,manual,fwd,sedan,white,ford,2720.0
2020.0,good,6 ,gas,10322.0,clean,other,rwd,sedan,other,Genesis,56562.4
2016.0,unknown,6 ,gas,103176.0,clean,automatic,4wd,SUV,other,bmw,32625.04
2019.0,like new,6 ,gas,43200.0,clean,automatic,fwd,SUV,other,ford,43520.0
2015.0,excellent,8 ,gas,29000.0,salvage,automatic,4wd,pickup,white,ford,54397.280000000006
1979.0,good,8 ,gas,89000.0,clean,automatic,rwd,pickup,other,gmc,4760.0
2019.0,unknown,4 ,gas,31065.0,clean,automatic,fwd,sedan,other,toyota,23054.72
2019.0,good,4 ,gas,26351.0,clean,other,fwd,pickup,white,nissan,33442.4
1994.0,good,8 ,gas,50000.0,clean,manual,rwd,truck,black,chevrolet,10744.0
2020.0,like new,8 ,gas,9839.0,clean,automatic,4wd,truck,black,toyota,79968.0
2008.0,unknown,6 ,gas,146784.0,clean,automatic,fwd,SUV,silver,toyota,14953.2
2007.0,good,6 ,gas,189000.0,clean,automatic,4wd,SUV,other,hyundai,3400.0000000000005
2015.0,good,6 ,gas,47518.0,clean,other,4wd,pickup,other,ford,53026.4
2018.0,good,6 ,gas,16607.0,clean,other,fwd,van,white,toyota,46226.4
2016.0,good,4 ,gas,65203.0,clean,other,fwd,hatchback,other,Scion,20386.4
2000.0,unknown,4 ,gas,159077.0,clean,automatic,fwd,sedan,other,honda,6113.200000000001
2012.0,unknown,6 ,gas,58394.0,clean,automatic,fwd,sedan,black,chevrolet,12988.000000000002
2014.0,unknown,4 ,electric,50015.0,clean,automatic,rwd,hatchback,unknown,tesla,51673.200000000004
2009.0,excellent,4 ,gas,136000.0,clean,automatic,fwd,sedan,other,toyota,8833.2
2017.0,excellent,4 ,gas,20295.0,clean,automatic,4wd,SUV,silver,nissan,26520.000000000004
2008.0,unknown,4 ,gas,149466.0,clean,automatic,fwd,sedan,black,honda,6528.000000000001
2006.0,excellent,8 ,gas,92675.0,clean,automatic,4wd,truck,other,toyota,23106.4
2006.0,excellent,4 ,gas,114000.0,clean,automatic,fwd,SUV,other,scion,8024.000000000001
1964.0,good,8 ,gas,30694.0,clean,automatic,rwd,convertible,other,ford,46240.0
2013.0,good,4 ,gas,175888.0,clean,automatic,fwd,sedan,other,ford,5414.160000000001
2013.0,like new,4 ,gas,136000.0,clean,automatic,fwd,SUV,other,gmc,11968.0
2012.0,unknown,4 ,gas,122920.0,clean,automatic,4wd,pickup,silver,ford,29918.640000000003
2009.0,good,4 ,gas,190000.0,clean,automatic,fwd,sedan,white,toyota,8158.64
2013.0,unknown,4 ,gas,122980.0,clean,automatic,fwd,sedan,white,toyota,14946.400000000001
2013.0,excellent,4 ,gas,85427.0,clean,automatic,4wd,sedan,unknown,bmw,18360.0
2018.0,good,4 ,gas,128687.0,clean,automatic,fwd,sedan,white,chevrolet,19026.4
2005.0,excellent,4 ,gas,230500.0,clean,automatic,fwd,SUV,other,honda,7070.64
2015.0,excellent,8 ,gas,54964.0,clean,automatic,4wd,truck,other,ford,48958.64000000001
2016.0,unknown,4 ,gas,73232.0,clean,automatic,4wd,truck,other,ford,50318.64000000001
2015.0,unknown,8 ,gas,98532.0,clean,automatic,rwd,truck,other,toyota,36718.64
2019.0,unknown,4 ,gas,19033.0,clean,automatic,fwd,sedan,other,ford,410.72
2018.0,unknown,4 ,gas,41113.0,clean,automatic,fwd,pickup,black,nissan,28572.24
2005.0,excellent,6 ,gas,124000.0,clean,automatic,fwd,sedan,other,ford,5168.0
2013.0,excellent,4 ,gas,32123.0,clean,automatic,fwd,SUV,black,honda,21753.2
2018.0,unknown,4 ,gas,22159.0,clean,automatic,fwd,sedan,other,ford,20398.640000000003
2020.0,unknown,4 ,gas,33545.0,clean,automatic,fwd,sedan,other,nissan,33847.68
2017.0,unknown,8 ,diesel,36484.0,clean,automatic,4wd,truck,black,gmc,89040.56000000001
2017.0,good,4 ,other,48957.0,clean,other,rwd,sedan,white,jaguar,32082.4
2011.0,unknown,6 ,gas,74950.0,clean,automatic,fwd,van,unknown,nissan,19018.24
2005.0,excellent,8 ,gas,156000.0,clean,automatic,rwd,van,unknown,ford,8840.0
2019.0,unknown,6 ,gas,16640.0,clean,automatic,fwd,van,silver,honda,43645.12
1995.0,good,6 ,gas,159000.0,clean,manual,rwd,truck,other,ford,6120.0
2003.0,good,8 ,gas,192000.0,clean,automatic,rwd,SUV,other,chevrolet,5168.0
2018.0,excellent,8 ,gas,113869.0,clean,automatic,4wd,truck,silver,chevrolet,48892.0
2012.0,good,4 ,gas,199500.0,clean,automatic,fwd,sedan,other,toyota,10744.0
2016.0,unknown,4 ,gas,40822.0,clean,automatic,fwd,SUV,other,cadillac,29915.920000000002
2008.0,unknown,6 ,gas,157619.0,clean,automatic,fwd,SUV,silver,ford,4753.200000000001
2008.0,unknown,4 ,gas,227751.0,clean,automatic,4wd,SUV,other,ford,4063.6800000000003
2016.0,excellent,4 ,gas,66384.0,clean,automatic,4wd,SUV,other,volvo,35700.0
2010.0,unknown,4 ,gas,192123.0,clean,automatic,fwd,sedan,unknown,toyota,8153.200000000001
2009.0,excellent,4 ,gas,81388.0,clean,automatic,fwd,hatchback,other,mini,6786.400000000001
2013.0,excellent,6 ,gas,82000.0,clean,automatic,4wd,SUV,white,ford,27132.000000000004
2015.0,unknown,4 ,gas,190347.0,clean,automatic,4wd,pickup,unknown,ford,23113.2
2010.0,good,6 ,gas,113000.0,clean,automatic,4wd,sedan,other,bmw,10880.0
2019.0,good,6 ,gas,4265.0,clean,other,fwd,van,other,honda,48402.4
2015.0,excellent,4 ,gas,155349.0,clean,automatic,fwd,sedan,white,toyota,12104.0
